Token: QUESTION, Lexema: null, Línea: 59, Columna: 24, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 59, Columna: 26, Tabla: N/A
Token: ID, Lexema: bl0, Línea: 60, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 60, Columna: 7, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 60, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: NEQ, Lexema: null, Línea: 60, Columna: 14, Tabla: N/A
Token: FALSE, Lexema: false, Línea: 60, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: null, Línea: 60, Columna: 20, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 60, Columna: 22, Tabla: N/A
Token: BOOL, Lexema: null, Línea: 61, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: bl1, Línea: 61, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 61, Columna: 12, Tabla: N/A
Token: ID, Lexema: in1, Línea: 61, Columna: 14, Tabla: VARIABLES
Token: GTE, Lexema: null, Línea: 61, Columna: 18, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 61, Columna: 21, Tabla: VARIABLES
Token: OR, Lexema: null, Línea: 61, Columna: 25, Tabla: N/A
Token: FALSE, Lexema: false, Línea: 61, Columna: 27, Tabla: PALABRAS_RESERVADAS
Token: AND, Lexema: null, Línea: 61, Columna: 31, Tabla: N/A
Token: NOT, Lexema: null, Línea: 61, Columna: 33, Tabla: N/A
Token: LPAREN, Lexema: null, Línea: 61, Columna: 35, Tabla: N/A
Token: ID, Lexema: func2, Línea: 61, Columna: 37, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 61, Columna: 43, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 61, Columna: 45, Tabla: N/A
